"순번","시군구코드","건물군일련번호","도로명코드","도로구간일련번호","기초구간일련번호","건물군명","건물군명영문","입력방법","위도","경도"
"29948","11230","3810","4115734","3240","29711"," "," "," ","37.5968015","127.0626681"
"29950","11230","1147","3105007","1219","11072"," "," ","1","37.5814423","127.0366054"
"29951","11230","1464","3105008","1272","11618"," "," "," ","37.5794005","127.0417142"
"29952","11230","2404","4115497","2123","18413"," "," ","1","37.5856447","127.0343786"
"29953","11230","3002","3005030","2509","23524"," "," "," ","37.574681","127.0378488"
"29954","11230","3349","4115615","2778","25996"," "," "," ","37.5625643","127.0638437"
"29956","11230","1948","4115502","1761","15643"," "," ","1","37.6002796","127.0545728"
"29958","11290","2158","4121641","4380","36798"," "," "," ","37.6080501","126.9970193"
"29959","11290","1471","4121359","2131","21684"," "," "," ","37.5936833","127.0057007"
"29960","11290","2149","4121696","4359","36629","혜문한의원"," ","1","37.588131","127.0044202"
"29961","11230","4951","3105001","1135","10452"," "," "," ","37.5835368","127.0414424"
"29962","11290","406","3107011","541","5893"," "," "," ","37.5866524","127.0306985"
"29963","11290","2036","4121520","4102","34047"," "," "," ","37.6151803","127.0466393"
"29965","11290","2203","4121174","4419","37408"," "," "," ","37.6154467","126.9993754"
"29966","11290","1580","4121606","2581","24462"," "," "," ","37.606769","127.0074038"
"30265","11305","294","4124146","1532","7235"," "," ","1","37.6387327","127.0332984"
"30267","11380","1465","3000008","1754","17782"," "," ","1","37.6103379","126.9304058"
"30268","11380","376","4133292","927","8237"," "," ","1","37.6021269","126.9377496"
"30269","11350","717","4130428","857","14039","신동아아파트","sindongaapart","1","37.6666842","127.0669488"
"30271","11380","1666","4133152","1841","19386","노유자시설","Noyujasiseol","1","37.6147349","126.9158556"
"30272","11380","26","4133125","85","801"," "," ","1","37.586428","126.8946344"
"30273","11350","630","4130141","750","12575"," "," ","1","37.6751911","127.083735"
"30274","11380","250","4133192","592","5239"," "," ","1","37.6014421","126.9247699"
"30276","11305","1783","3005044","3859","31811"," "," ","1","37.6126504","127.0346983"
"30277","11350","1206","4130363","1957","25302"," "," "," ","37.6414134","127.0879697"
"30280","11410","622","3112012","1653","16395"," "," "," ","37.5970604","126.9457077"
"30281","11470","331","3114004","371","7072"," "," "," ","37.5389428","126.8647179"
"30282","11440","40","4139163","236","1652","마포기동대","Mapogidongdae","1","37.5378343","126.9451336"
"30283","11440","61","4139002","294","1988"," "," ","1","37.5547361","126.9435516"
"30284","11380","1606","4133166","1817","18964"," "," ","1","37.6214676","126.9268524"
"30286","11380","1171","4133264","1726","16219"," "," ","1","37.5853866","126.9047741"
"30287","11380","1573","4133292","1804","18733"," "," ","1","37.6022474","126.9357734"
"30289","11350","1324","4130249","845","13896","백승빌라","baekseungbilra"," ","37.6757706","127.0577532"
"30290","11350","587","4130067","691","11687","외국인교수아파트","oegugingyosuapart","1","37.6204068","127.0822357"
"30292","11230","3140","3105017","2620","24458"," "," "," ","37.5765373","127.0241344"
"30293","11230","3559","4115665","2963","27479"," "," "," ","37.5845133","127.0445416"
"30294","11260","483","4118145","860","13223","풍림아파트","Poonglim Apts."," ","37.5909873","127.0723279"
"30609","11200","292","4109186","399","5488","성암교회"," ","1","37.5681182","127.0430671"
"30610","11170","1579","4106107","3057","26796"," "," "," ","37.536186","126.9716788"
"30611","11170","954","4106451","2169","17592","대림상사","Daerim Sangsa"," ","37.5251896","126.9619542"
"30612","11170","721","4106354","1462","12637","용안카센타","yongan Motors Repair Shop"," ","37.5316518","126.9644754"
"30614","11200","298","4109074","416","5626"," "," "," ","37.5512946","127.0172521"
"30616","11170","373","4106215","789","6800"," "," "," ","37.5327068","126.9970464"
"30617","11200","1444","3103001","2392","25892"," "," "," ","37.5529314","127.0241827"
"30618","11170","61","4106397","100","916"," "," "," ","37.5499579","126.9723367"
"30620","11170","1484","4106258","2798","21657"," "," ","1","37.5394055","126.9656714"
"30621","11170","1084","4106495","2612","20246"," "," "," ","37.5388994","126.9944287"
"30622","11200","433","4109340","637","7808"," "," "," ","37.5383264","127.0490283"
"30625","11200","539","4109014","860","10091"," "," ","1","37.5544291","127.0385274"
